Manufacturer,Model,SystemID,Security Level
AMLogic,,7759,L1
AMLogic,,8365,L1
AMLOGIC,AMLOGIC_MESON6_ANDROID_MOBILE_2012,193,L1
Amlogic,AmlogicS905X,7291,L1
AMLogic,ampere,8348,L1
AMLogic,anning,14542,L1
AMLogic,franklin,11366,L1
AMLogic,marconi,13028,L1
AMLogic,newton,15178,L1
AMLogic,ohm,18931,L1
AMLogic,oppen,21731,L1
Amlogic,p212,7658,L1
AMLogic,planck,21732,L1
AMLogic,redi,21651,L1
Android Module,,6666,L3
Android Prod,Android TV,13987,L3
Android,,13986,L3
Android,,6821,L3
Anker,,16246,L1
Anker,,16463,L1
Antel,DIW387_UHD_Antel,8287,L1
Antik Technology,,23317,L1
ANYDATA,ANYDATA_AMD120W_TAB_2011,126,L1
AOC,MSD95N_MSD94B_AOC_2K19,10433,L1
AOC,MSD95P_AOC_2K18,8417,L1
AOC,MTK5580 AOC 2K14,5591,L1
aome,,22018,L1
APFE Test Company,,21170,L1
Apple - Prod,Apple TV - Prod,13283,L3
Apple,,13284,L3
Apple,L3-Dev,23177,L3
Arcadyan TV,,25209,L1
Arcadyan TV,Bouygtel4K,6715,L1
Arcadyan TV,Digital_Life_P3,9482,L1
Arcadyan TV,G01,21949,L1
Arcadyan TV,hailstorm2020,20475,L1
Arcadyan TV,hailstorm2021,23719,L1
Arcadyan TV,HMB2213PW22TS,6790,L1
Arcadyan TV,HMB2213PW22WA,7686,L1
Arcadyan TV,HMB4213H,5279,L1
Arcadyan TV,HMB4213H,5583,L1
Arcadyan TV,HMB4213H,5964,L1
Arcadyan TV,HMB4213H,6185,L1
Arcadyan TV,HMB9013TW22TH,9001,L1
Arcadyan TV,MCM3000,6627,L1
Arcadyan TV,OTT640,22836,L1
Arcadyan,,24195,L1
Arcadyan,NEOBOX,10888,L1
Arcelik TV,,24737,L1
Arcelik TV,,26731,L1
Arcelik TV,arcelik_eu,6530,L1
Arcelik TV,kunyang,21871,L1
Arcelik TV,sinchon,19615,L1
Arcelik,40 UHD/49 UHD/55 UHD/65 UHD,6879,L1
Arcelik,Powermax FX,23031,L1
Archos,ac50ass4g,11128,L1
Archos,lifbk80,6805,L1
Archos,lifbn80,10290,L1
Arris Group TV,,14713,L1
Arris Group TV,,22451,L1
Arris Group TV,,22885,L1
Arris Group TV,,24086,L1
Arris Group TV,,25007,L1
Arris Group TV,,25515,L1
Arris Group TV,,26008,L1
Arris Group TV,,26179,L1
Arris Group TV,,26357,L1
Arris Group TV,,9588,L1
Arris Group TV,f349,19071,L1
Arris Group TV,f354,19299,L1
Arris Group TV,f400,20946,L1
Arris Group TV,f480,20897,L1
Arris Group TV,F493,22111,L1
Arris Group TV,f503,23094,L1
Arris Group TV,f511,22525,L1
Arris Group TV,vip5202w,9180,L1
Arris Group TV,vip5242a,7755,L1
Arris Group TV,vip5442,9721,L1
Arris Group TV,vip5702w_n,15317,L1
Arris Group TV,vip5702w_tn,16527,L1
Arris Group TV,vip6102w,7756,L1
Arris Group TV,vip7000,20594,L1
Arris Group TV,vip7802_bell,18355,L1
Arris Group TV,vip7802w,16674,L1
Arris Group TV,zc4450v_orm,22239,L1
Arris Group TV,zc4455v_orb,18205,L1
Arris Group TV,zc4455v_orr,21756,L1
Arris Group TV,zi4450v_ors,18206,L1
Arris,,13546,L1
Arris,,13547,L1
ARRIS,,14377,L3
ARRIS,,14378,L3
ARRIS,,14379,L3
Arris,,7034,L3
ARRIS,,7519,L1
ARRIS,,7520,L1
ARRIS,DCX-525e,14430,L3
ARRIS,DCX-525e,7392,L3
ARRIS,DCX-700e,14376,L3
ARRIS,DCX-700e,7393,L3
ARRIS,DCX/IPC/VMS/FMS/VIP,7083,L1
Arris,DCX960,7261,L1
Arris,DCX960,7598,L1
Arris,DMT5 v1,8978,L1
ARRIS,E077,7262,L1
ARRIS,E733,7360,L1
ARRIS,VIP,7483,L1
ARRIS,VIP-1113,7394,L3
Arris,VIP5602W,7921,L1
Arris,VIP5662,7397,L1
Arris,VIP5662W,7376,L1
ARRIS,XG1v1,7529,L1
ARRIS,XG1v1,7530,L1
ARRIS,XG1v3,7544,L1
ARRIS,XG1v3,7549,L1
ARRIS,XG1v4,7545,L1
ARRIS,XG1v4,7551,L1
ARRIS,Xi6,7560,L1
ARRIS,Xi6,7561,L1
ARRIS,Zxyy/PX0,7391,L1
Arrows,301F,4346,L1
Arrows,F-01F,4364,L1
Arrows,FJL22,4345,L1
Arçelik,32 NF HD/40 NF FHD/43 NF FHD,15896,L1
Arçelik,40 UHD/43 UHD/49 UHD/55 UHD/65 UHD/55 OLED/65 OLED,7814,L1
Arçelik,43 NT UHD/49 NT UHD/55 NT UHD/65 NT UHD,8379,L1
Arçelik,43 UHD/49 UHD/55 UHD/65 UHD/55 UHD 100Hz/65 UHD 100Hz/55 OLED/65 OLED,13282,L1
Askey TV,,18790,L1
Askey TV,,19254,L1
Askey TV,,22931,L1
Askey TV,,23853,L1
Askey TV,,23952,L1
Askey TV,,25103,L1
Askey TV,,25374,L1
Askey TV,,26231,L1
Askey TV,adt3,16251,L1
Askey TV,Bushi,13525,L1
Askey TV,Deadpool,13290,L1
Askey TV,deadpool,13732,L1
Askey TV,HS_A01,9495,L1
Askey TV,stephen,20767,L1
Askey TV,STI6030_True_A01,9294,L1
Askey TV,sti6030d111,15104,L1
Askey TV,sti6130,15485,L1
Askey TV,sti6130d324,15179,L1
Askey TV,sti6130d340,17222,L1
Askey TV,sti6130d350,18902,L1
Askey TV,STI6130d353,19124,L1
Askey TV,sti6130d353,19564,L1
Askey TV,sti6140d360,21270,L1
Askey TV,sti6160d19,17867,L1
Askey TV,sti6160d327,15180,L1
Askey TV,sti6160d332,15202,L1
Askey TV,sti6170d322,18975,L1
Askey TV,sti6200d101,17657,L1
Askey TV,sti6220d315,18946,L1
Askey TV,sti6240dref,21641,L1
Askey TV,sti6250d315,21877,L1
Askey TV,sti6251d315,21876,L1
Askey TV,sti6260d195,22504,L1
Askey TV,STI6xxx,7908,L1
Askey TV,TV_A01,9337,L1
Askey_Onn TV,stephen,21232,L1
ASR,,7699,L1
Astronics Custom Control Concepts,,16001,L1
Astronics Custom Control Concepts,ccc_apq8084_drm,10546,L1
Asus,,14761,L1
Asus,,14762,L1
Asus,,24012,L1
Asus,,24283,L1
Asus,,24635,L1
Asus,,26507,L1
Asus,,6828,L1
Asus,,8193,L1
Asus,A68,6700,L1
Asus,A80,6689,L1
Asus,ariel,6481,L1
Asus,AST21,5499,L1
Asus,AST21,5711,L1
Asus,AST21,6034,L1
Asus,ASUS-A86,6688,L3
Asus,ASUS-K00S,5167,L1
Asus,ASUS-K00S,5372,L1
Asus,ASUS-T008,5180,L1
Asus,ASUS-T00D,5204,L1
Asus,ASUS-T00S,5562,L1
Asus,ASUS-T00S,5882,L1
Asus,ASUS_A001,6623,L1
Asus,ASUS_A001D_1,11816,L1
Asus,ASUS_A001D_2,11817,L1
Asus,ASUS_A002,7067,L1
Asus,ASUS_A002_1,7147,L1
Asus,ASUS_A002_2,7926,L1
Asus,ASUS_A006,7277,L1
Asus,ASUS_A007,7146,L1
Asus,ASUS_A009,7497,L1
ASUS,ASUS_GTV_MRV_BG2_STB_2013,291,L1
Asus,ASUS_I001_1,13984,L1
Asus,ASUS_I002D,17943,L1
Asus,ASUS_I003_1,17594,L1
Asus,ASUS_I004D,20692,L1
Asus,ASUS_I005_1,19628,L1
Asus,ASUS_I006D,20691,L1
Asus,ASUS_I007_1,21019,L1
Asus,ASUS_I01WD,12592,L1
Asus,ASUS_L001_1,6794,L1
Asus,ASUS_L001_2,6795,L1
ASUS,ASUS_ME370T_TABLET_2012,150,L1
Asus,ASUS_P00I,6967,L1
Asus,ASUS_P00J,7267,L1
Asus,ASUS_P00L_1,7293,L1
Asus,ASUS_P00L_2,7294,L1
Asus,ASUS_P028_1,7527,L1
Asus,ASUS_P028_2,7533,L1
ASUS,ASUS_QUALCOMM_APQ8086_ANDROID_2012,221,L1
Asus,ASUS_T00E,5188,L1
Asus,ASUS_T00F,5245,L1
Asus,ASUS_T00F,5538,L1
Asus,ASUS_T00F,5900,L1
Asus,ASUS_T00F1,5890,L1
Asus,ASUS_T00G,5246,L1
Asus,ASUS_T00G,5539,L1
Asus,ASUS_T00I,5367,L1
Asus,ASUS_T00I,5601,L1
Asus,ASUS_T00I,5868,L1
Asus,ASUS_T00J,5540,L1
Asus,ASUS_T00J,5755,L1
Asus,ASUS_T00J1,5891,L1
Asus,ASUS_T00K,5588,L1
Asus,ASUS_T00K,5847,L1
Asus,ASUS_T00N,5492,L1
Asus,ASUS_T00N,5845,L1
Asus,ASUS_T00P,5479,L1
Asus,ASUS_T00P,5750,L1
Asus,ASUS_T00P,6095,L1
